index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
44162,zobribe01,N,1651.0,5880.0,884.0,1566.0,349.0,44.0,167.0,768.0,116.0,49.0,832.0,994.0,35.0,31.0,26.0,67.0,124.0,210.0,75.0,B,R,2006-08-01,2019-09-29,World Series MVP,2.0
17832,ziskri01,N,1453.0,5144.0,681.0,1477.0,245.0,26.0,207.0,792.0,8.0,15.0,533.0,910.0,52.0,12.0,7.0,41.0,138.0,200.0,73.0,R,R,1971-09-08,1983-09-21,TSN All-Star,2.0
44147,zimmery01,N,1799.0,6654.0,963.0,1846.0,417.0,22.0,284.0,1061.0,43.0,16.0,646.0,1384.0,43.0,31.0,1.0,69.0,212.0,215.0,75.0,R,R,2005-09-01,2021-10-03,Comeback Player of the Year,2.0
44136,zimmehe01,N,1456.0,5304.0,695.0,1566.0,275.0,105.0,58.0,796.0,175.0,33.0,242.0,432.0,0.0,38.0,156.0,0.0,0.0,176.0,71.0,R,R,1907-09-08,1919-09-10,Baseball Magazine All-Star,0
44130,zimmedo01,N,1095.0,3283.0,353.0,773.0,130.0,22.0,91.0,352.0,45.0,25.0,246.0,678.0,27.0,13.0,37.0,14.0,99.0,165.0,69.0,R,R,1954-07-02,1965-10-02,None,1.0
5787,zimmech01,N,1280.0,4546.0,617.0,1225.0,222.0,76.0,26.0,625.0,151.0,0.0,390.0,511.0,0.0,91.0,51.0,0.0,0.0,190.0,72.0,R,R,1884-07-18,1903-09-27,None,0
44116,zernigu01,N,1234.0,4131.0,572.0,1093.0,159.0,22.0,237.0,776.0,15.0,7.0,383.0,755.0,3.0,24.0,3.0,20.0,106.0,210.0,74.0,R,R,1949-04-19,1959-09-25,None,1.0
22369,zeileto01,N,2158.0,7573.0,986.0,2004.0,397.0,23.0,253.0,1110.0,53.0,51.0,945.0,1279.0,47.0,42.0,8.0,81.0,223.0,190.0,73.0,R,R,1989-08-18,2004-10-03,None,0
44109,zeidero01,N,941.0,3210.0,393.0,769.0,89.0,22.0,5.0,253.0,223.0,0.0,334.0,179.0,0.0,22.0,122.0,0.0,0.0,162.0,70.0,R,R,1910-04-14,1918-08-29,None,0
44100,zaungr01,N,1232.0,3489.0,437.0,878.0,194.0,9.0,88.0,446.0,23.0,19.0,479.0,544.0,30.0,29.0,14.0,31.0,87.0,170.0,70.0,B,R,1995-06-24,2010-05-20,None,0
44096,zarilal01,N,1120.0,3535.0,507.0,975.0,186.0,43.0,61.0,456.0,33.0,33.0,415.0,382.0,0.0,30.0,54.0,0.0,61.0,180.0,71.0,L,R,1943-06-30,1953-09-26,None,1.0
19993,yountro01,Y,2856.0,11008.0,1632.0,3142.0,583.0,126.0,251.0,1406.0,271.0,105.0,966.0,1350.0,95.0,48.0,104.0,123.0,217.0,165.0,72.0,R,R,1974-04-05,1993-10-03,TSN All-Star,3.0
1795,youngro01,N,1211.0,4627.0,812.0,1491.0,236.0,93.0,42.0,592.0,153.0,83.0,550.0,390.0,0.0,37.0,119.0,0.0,0.0,162.0,68.0,L,R,1917-09-25,1926-08-10,Baseball Magazine All-Star,0
44064,youngra01,N,1022.0,3643.0,480.0,898.0,108.0,30.0,4.0,254.0,92.0,59.0,495.0,235.0,0.0,15.0,183.0,0.0,0.0,165.0,65.0,B,R,1913-04-10,1922-09-29,None,0
44062,youngmi02,N,1970.0,7918.0,1137.0,2375.0,441.0,60.0,185.0,1030.0,90.0,30.0,575.0,1235.0,28.0,22.0,25.0,72.0,236.0,200.0,73.0,R,R,2000-09-29,2013-09-29,Gold Glove,6.0
44054,youngke01,N,1205.0,3897.0,536.0,1007.0,235.0,17.0,144.0,606.0,83.0,49.0,336.0,882.0,18.0,62.0,9.0,47.0,105.0,210.0,75.0,R,R,1992-07-12,2003-06-27,None,0
44053,youngjo02,N,1408.0,3659.0,453.0,969.0,180.0,23.0,80.0,422.0,60.0,55.0,332.0,589.0,30.0,36.0,18.0,33.0,80.0,180.0,72.0,R,R,1976-04-13,1989-09-27,None,1.0
22710,younger01,N,1730.0,6119.0,996.0,1731.0,327.0,46.0,79.0,543.0,465.0,168.0,660.0,462.0,14.0,89.0,84.0,44.0,135.0,180.0,69.0,R,R,1992-07-30,2006-09-19,TSN All-Star,1.0
